timestamp,penicillin,time_h,dissolved_oxygen,sugar_feed_rate,aeration_rate,water_injection,vessel_volume,oxygen_uptake,temperature,scan
2025-03-11 05:56:27,1.05,2.6,7.43,3.89,3.57,9.33,296.88,0.24,33.19,10
2025-03-11 05:56:28,1.74,3.91,3.94,4.09,8.56,8.61,195.32,4.29,21.38,10
2025-03-11 05:56:29,0.32,1.92,0.7,0.99,4.34,8.11,315.61,3.9,30.29,10
2025-03-11 05:56:30,0.44,6.88,3.38,3.92,3.84,9.0,459.64,2.45,34.96,10
2025-03-11 05:56:31,1.59,3.55,8.92,3.97,9.55,9.96,339.42,1.73,20.12,10
2025-03-11 05:56:32,1.27,4.52,3.92,0.95,1.85,0.79,420.71,2.8,22.37,10
2025-03-11 05:56:33,1.94,5.4,7.86,4.7,5.86,5.35,236.3,4.26,27.23,10
2025-03-11 05:56:34,1.85,6.07,4.49,0.39,0.6,2.97,459.82,1.71,24.26,10
2025-03-11 05:56:35,1.89,4.63,2.33,3.48,8.16,0.53,89.35,0.7,39.65,10
2025-03-11 05:56:36,0.18,1.65,8.16,4.18,0.09,8.82,126.25,4.59,32.34,10
2025-03-11 05:56:37,0.2,8.55,2.21,2.55,2.99,9.43,345.41,0.34,33.64,10
2025-03-11 05:56:38,0.27,5.4,6.3,4.96,7.43,2.39,105.43,2.01,39.76,10
2025-03-11 05:56:39,0.73,1.94,2.77,2.92,5.42,8.75,267.89,1.13,38.36,10
2025-03-11 05:56:40,1.02,7.42,4.96,3.64,2.7,1.09,237.67,2.75,37.14,10
2025-03-11 05:56:41,0.46,9.64,7.8,4.5,6.02,4.89,213.04,3.43,26.81,10
2025-03-11 05:56:42,1.6,6.75,9.35,3.18,4.87,8.97,395.53,4.97,27.83,10
2025-03-11 05:56:43,1.25,5.96,4.07,4.69,0.79,9.1,93.81,2.91,25.3,10
2025-03-11 05:56:44,0.99,5.12,5.49,3.13,9.48,4.53,106.0,4.38,20.72,10
2025-03-11 05:56:45,1.68,3.5,0.31,4.91,8.86,0.88,68.58,3.58,29.51,10
2025-03-11 05:56:46,0.45,3.12,5.24,1.07,5.71,4.5,178.85,4.17,21.11,10
2025-03-11 05:56:47,1.02,9.84,5.92,0.38,9.36,7.48,290.82,3.81,23.89,10
2025-03-11 05:56:48,0.44,5.76,9.22,0.61,8.86,1.51,480.38,3.37,25.94,10
2025-03-11 05:56:49,1.24,3.35,8.36,2.02,6.26,0.05,148.68,1.39,27.45,10
2025-03-11 05:56:50,0.12,3.02,6.1,3.92,1.1,9.14,237.47,3.41,35.22,10
2025-03-11 05:56:51,0.55,3.48,1.5,3.89,9.45,0.51,209.19,0.43,20.77,10
2025-03-11 05:56:52,1.07,7.5,9.74,2.35,9.25,3.59,407.5,4.96,36.69,10
2025-03-11 05:56:53,1.74,9.22,0.67,1.55,6.65,6.54,156.84,2.01,26.74,10
2025-03-11 05:56:54,1.1,2.3,6.21,0.27,2.2,5.94,419.24,3.99,32.99,10
2025-03-11 05:56:55,0.22,4.41,5.62,4.99,2.65,0.39,152.37,2.74,36.42,10
2025-03-11 05:56:56,0.77,4.04,9.71,1.32,0.01,1.32,428.57,2.51,34.01,10
2025-03-11 05:56:57,1.95,3.3,4.88,2.36,0.24,7.87,476.5,2.25,36.44,10
2025-03-11 05:56:58,1.01,4.18,4.94,0.88,3.21,8.62,472.93,3.67,36.5,10
