Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Dumped broth flow(Fremoved:L/h),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),Generated heat(Q:kJ),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),Oil flow(Foil:L/hr),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen Uptake Rate(OUR:(g min^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Offline Biomass concentratio(X_offline:X(g L^{-1})),Carbon evolution rate(CER:g/h),Ammonia shots(NH3_shots:kgs),Viscosity(Viscosity_offline:centPoise),Fault reference(Fault_ref:Fault ref),0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref),1- No Raman spec, 1-Raman spec recorded,2-PAT control(PAT_ref:PAT ref),Batch reference(Batch_ref:Batch ref),Batch ID,Fault flag,timestamp
1,30,100,8,0.5181,18.908,1.1045,0.0001,0,0.6,0,1.137,14.633,0.00099821,58501,62613,6.5825,298.09,1e-06,0.1103,5.0,1488.0,22,1667.8,-0.049975,0.20589,1.02e-25,0.52808,0.041951,0,4.083,0,0,1,1,1,0,0,0,04/09/2025 11:31:29 AM
12,42,100,15,0.0,61.535,168.15,0.0001,0,0.6,0,0.15862,11.835,0.00096693,58691,63126,6.5002,298.04,1e-06,0.34413,0.0,1577.7,30,1791.4,0.93728,0.19184,0.00096956,2.8974,0.18335,0,10.792,0,0,1,1,1,0,21523,21661,04/09/2025 11:31:30 AM
24,55,100,150,0.0,225.0,226.68,0.0001,0,0.7,0,0.017054,9.8146,0.00091056,60408,65486,6.4661,298.03,34.356,0.71406,0.0,1289.8,35,1800.7,1.6293,0.18692,0.00091668,8.5233,0.49871,0,21.978,0,0,1,1,1,0,20677,20314,04/09/2025 11:31:31 AM
36,55,100,43,0.0,40.635,147.14,0.0001,0,0.9,0,0.002671,12.538,1.3316,61096,66677,6.5124,298.0,62.302,0.97862,0.0,874.46,35,1761.6,0.98151,0.19317,1.2134,12.164,0.68398,0,35.283,0,0,1,1,1,0,26823,26638,04/09/2025 11:31:32 AM
48,60,100,57,0.0,39.766,139.2,0.0001,0,1.1,0,0.0022198,12.947,3.4578,61944,68070,6.4924,298.04,71.878,1.1343,10.0,869.8,35,1835.4,1.1516,0.1921,3.299,15.306,0.86525,0,49.221,0,0,1,1,1,0,37854,37521,04/09/2025 11:31:33 AM
60,60,100,72,0.0,56.381,2.1596,0.11391,500,1.1,0,0.0016796,14.785,5.6316,68165,74866,6.4919,297.96,46.119,1.3594,10.0,1147.7,34,1857.7,0.95394,0.19352,5.4925,16.928,1.0377,0,40.596,0,0,1,1,1,0,48431,48617,04/09/2025 11:31:34 AM
72,60,100,84,0.0,79.993,9.7984,0.0001,500,1.1,0,0.0017874,15.491,7.6412,75700,83005,6.5079,298.0,60.183,1.5872,10.0,1343.5,31,1820.1,1.2414,0.19037,7.5105,17.879,1.2123,0,25.001,0,0,1,1,1,0,57267,57137,04/09/2025 11:31:35 AM
84,60,100,90,0.0,48.021,55.479,0.0001,100,1.1,0,0.0011453,14.883,9.8896,79821,87750,6.4802,297.98,51.143,1.8159,10.0,1437.4,23,1810.4,1.548,0.18703,9.7403,19.471,1.3879,0,25.919,0,0,1,1,1,0,68543,68599,04/09/2025 11:31:36 AM
96,75,100,90,0.0,52.426,53.829,0.0001,100,1.1,0,0.0011866,14.413,12.117,82436,90939,6.508,297.99,55.399,1.6,10.0,1533.4,23,1827.8,1.6222,0.18981,11.97,20.781,1.5277,0,34.541,0,0,1,1,1,0,78640,79216,04/09/2025 11:31:37 AM
108,75,100,90,0.0,53.694,56.331,0.0001,100,1.0,0,0.0012397,12.641,14.396,77913,86075,6.5033,298.0,59.965,1.6086,10.0,1594.1,23,1842.6,1.7175,0.18907,14.245,22.192,1.5359,0,43.193,0,0,1,1,1,0,90488,90917,04/09/2025 11:31:38 AM
